,time,open,high,low,close,adj Close,volume,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,previous_close,high-low,high-pc,low-pc,tr,atr,upperband,lowerband,in_uptrend,pattern,label
666,2018-03-02,65.396004,67.043999,64.594002,67.024002,67.024002,25464000,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,66.185997,2.449996999999996,0.858001999999999,1.5919949999999972,2.449996999999996,2.393141571428572,71.76800207142858,58.639575785714285,False,2,-1
667,2018-03-05,66.477997,67.550003,65.858002,66.669998,66.669998,19119000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,-100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,67.024002,1.6920010000000048,0.5260010000000079,1.1659999999999968,1.6920010000000048,2.230856714285715,71.76800207142858,60.01143235714286,False,2,-1
668,2018-03-06,66.75,67.274002,65.405998,65.639999,65.639999,21428500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.669998,1.868003999999999,0.6040039999999891,1.26400000000001,1.868003999999999,2.24571442857143,71.76800207142858,59.602856714285714,False,-1,0
669,2018-03-07,65.087997,66.5,64.348,66.459999,66.459999,25036500,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.639999,2.152000000000001,0.8600009999999969,1.2919990000000041,2.152000000000001,2.3545717142857154,71.76800207142858,58.36028485714286,False,1,0
670,2018-03-08,66.571999,66.660004,65.253998,65.82,65.82,17831000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.459999,1.406006000000005,0.20000500000000443,1.2060010000000005,1.406006000000005,2.270286571428573,71.76800207142858,59.14614128571427,False,0,0
671,2018-03-09,64.82,65.697998,64.473999,65.433998,65.433998,27534000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,65.82,1.223998999999992,0.12200199999999484,1.346000999999987,1.346000999999987,2.0905728571428575,71.35771707142857,58.81427992857143,False,0,0
672,2018-03-12,65.722,69.442001,65.300003,69.101997,69.101997,41320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.433998,4.141998000000001,4.008003000000002,0.13399499999999875,4.141998000000001,2.150858142857142,71.35771707142857,60.91842757142858,False,0,0
673,2018-03-13,65.722,69.442001,65.300003,68.367996,68.367996,29829000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.101997,4.141998000000001,0.3400040000000075,3.8019939999999934,4.141998000000001,2.392572571428571,71.35771707142857,60.19328428571429,False,0,0
674,2018-03-14,67.351997,67.961998,64.786003,65.325996,65.325996,39837000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.367996,3.1759950000000003,0.40599800000001096,3.5819930000000113,3.5819930000000113,2.6625714285714293,71.35771707142857,58.386286214285704,False,0,0
675,2018-03-15,65.875999,66.57,64.220001,65.120003,65.120003,32824000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.325996,2.349998999999997,1.2440039999999897,1.1059950000000072,2.349998999999997,2.7314278571428576,71.35771707142857,57.200716928571424,False,0,0
